Ablation Area:  The area of a glacier where more glacier mass is lost than gained 
Ablation Hollows:  Depressions in the snow surface caused by the sun or warm, gusty wind 
Ablation Moraine:  Mound or layer of moraine in the ablation zone of a glacier; the rock has been plucked from the mountainside by the moving glacier and is melting out on the ice surface 
Ablation Season:  Period during which glaciers lose more mass than they gain; usually coincides with summer 
Ablation Zone:  Area or zone of a glacier where snow and ice ablation exceed accumulation 
Abrasian:  rocks within the ice acting like sandpaper to smooth and polish the surface below; pulverized rock produced is called rock flour; glacial striations: ice at the bottom of a glacier contains large rock fragments, and long scratches and grooves; give clues to direction of travel  
Accommodation Space Equation: represents a simple volume balance, with the terms on the left controlling the amount of space that can be occupied by sediments and water and the terms on the right describing how much water or sediment fills the accommodation space  
Accumulation Area:  Area of a glacier where more mass is gained than lost 
Accumulation Season:  Period during which a glacier gains more mass than it loses usually coincides with winter 
Accumulation Zone:  Area of a glacier where more mass is gained than lost 
Advance:  When a mountain glacier’s terminus extends farther down valley than before; glacial advance occurs when a glacier flows down valley faster than the rate of ablation at its terminus 
Alpine Glacier:  A glacier that is confined by surrounding mountain terrain; also called a mountain glacier  
Arête:  Sharp, narrow ridge formed as a result of glacial erosion from both sides   
Band Ogives:  Alternate bands of light and dark on a glacier; usually found below steep narrow icefalls and thought to be the result of different flow and ablation rates between summer and winter 
Basal Sliding:  The sliding of a glacier over bedrock; melting point of ice decreases with pressure.  
Bergschrund:  (Rimaye) Crevasse that separates flowing ice from stagnant ice at the head of a glacier 
Branched-Valley Glacier:  Glacier that has one or more tributary glaciers that flow into it; distinguished from a simple valley glacier that has only a single tributary glacier 
Brittle Zone: The upper 50 meters of a glacier that breaks as the ice moves
Budget of Glacier:  as terminus, or bottom of glacier, retreats, zone of wastage decreases$ \rightarrow $new balance will be reached eventually between accumulation and wastage, and ice front will become stationary; no matter how margin is moving ice within the glacier continues to flow forward; even if glacier is retreating, but not enough to stop ablation 
Bubble Rock:  Name of this one erratic in Acadia national park.
Calving:  process by which a block of a glacier breaks off and falls into the sea to form an iceberg  
Catchment Glacier:  A semi permanent mass of firn formed by drifted snow behind obstructions or in the ground; also called a snowdrift glacier or a drift glacier 
Chattermarks:  Striations or marks left on the surface of exposed bedrock caused by the advance and retreat of glacier ice
Chanelled Scablands:  Land after a giant flood. 
Cirque:  Bowl shaped or amphitheater usually sculpted out of the mountain terrain by a cirque glacier 
Cirque Glacier:  Glacier that resides in basins or amphitheaters near ridge crests; most cirque glaciers have a characteristic circular shape, with their width as wide or wider than their length 
Col:  the lowest point of a ridge or saddle between two peaks, typically affording a pass from one side of a mountain range to another. 
Cold Glacier:  Glacier in which most of the ice is below the pressure melting point; nonetheless the glacier’s surface may be susceptible to melt due to incoming solar radiation, and the ice at the rock/ice interface may be warmed as a result of the natural (geothermal) heat from the earth’s surface 
Compression Flow:  Flow that occurs when glacier motion is decelerating down-slope 
